date,time,lon,lat,input
20131108,213100,128.6196869,38.08881421,2013110821
20131124,144300,128.5439227,37.63250821,2013112414
20131112,184800,128.9011334,37.11114967,2013111218
20140113,123400,127.6363489,38.15802632,2014011312
20140115,161900,129.055562,37.23804343,2014011516
20140226,140100,128.0137693,37.77850519,2014022614
20131206,140200,128.7080169,38.02775819,2013120614
20140227,122600,128.0898983,37.46839458,2014022712
20131201,214000,128.8505149,37.73898856,2013120121
20140303,113700,127.9085251,37.2590774,2014030311
20140101,040300,128.9136305,37.73707844,2014010104
20140116,104400,128.6031065,37.51013847,2014011610
20140101,094000,128.8755172,37.72112592,2014010109
20140305,153900,127.6017172,38.05038696,2014030515
20140307,115100,128.542178,37.14196989,2014030711
20140310,101900,127.7251473,38.10489962,2014031010
20140302,163200,127.1388701,38.25930844,2014030216
20140315,105600,128.8922467,37.7979118,2014031510
20140119,193100,128.0837904,37.27646067,2014011919
20140310,113900,127.8144917,37.64088876,2014031011
20140303,140600,127.985942,37.3070068,2014030314
20140307,133700,127.6162645,37.84952319,2014030713
20140305,150700,127.5776777,37.75679667,2014030515
20140327,154800,127.3558565,38.18469845,2014032715
20140327,172600,127.5793791,37.68562307,2014032717
20140401,134200,127.908953,37.50040836,2014040113
20140311,164900,127.8416013,37.17488874,2014031116
20140410,130400,128.0482851,38.09544473,2014041013
20140402,144100,128.7564695,37.58742176,2014040214
20140307,150800,127.8504591,37.80532767,2014030715
20140324,162400,128.0391318,37.87882395,2014032416
20140327,182900,128.4661713,37.69787972,2014032718
20140324,191400,128.6264087,38.12414644,2014032419
20140411,142500,127.9127755,37.87261004,2014041114
20140411,172700,127.80052,37.39316088,2014041117
20140409,135200,128.4555725,37.21905666,2014040913
20140415,104600,128.376151,38.52504419,2014041510
20140413,160600,128.8209768,37.33525885,2014041316
20140413,141400,127.8504591,37.80532767,2014041314
20140328,060900,127.5793791,37.68562307,2014032806
20140410,150800,127.3558565,38.18469845,2014041015
20140417,191400,127.778023,37.87856338,2014041719
20140412,135900,127.9309621,38.10120094,2014041213
20140420,134100,127.5636016,37.66146304,2014042013
20140413,210500,128.5296827,37.37219867,2014041321
20140424,105000,128.2438141,37.73821838,2014042410
20140413,135200,128.0003831,37.65965798,2014041313
20140422,144400,128.0329259,37.73035663,2014042214
20140422,103800,128.3062379,38.12636952,2014042210
20140415,172900,128.376151,38.52504419,2014041517
20140410,173300,127.3558565,38.18469845,2014041017
20140424,152600,127.7701328,37.79327062,2014042415
20140424,181500,127.6826134,37.75370972,2014042418
20140423,133000,127.6533731,37.7441063,2014042313
20140421,131500,128.3462479,37.25887166,2014042113
20140426,103900,128.4860731,37.65261051,2014042610
20140421,160500,128.5270312,38.22913757,2014042116
20140425,141000,128.7477079,37.94743097,2014042514
20140425,121300,128.4555725,37.21905666,2014042512
20140424,114500,128.0939569,37.50978628,2014042411
20140416,224500,127.778023,37.87856338,2014041622
20140504,184200,128.0003831,37.65965798,2014050418
20140427,152500,128.7663956,37.92215124,2014042715
20140425,101700,129.1304677,37.45006454,2014042510
20140425,201400,127.7251473,38.10489962,2014042520
20140514,182200,128.9535736,37.50614443,2014051418
20140424,183200,128.4555725,37.21905666,2014042418
20140510,150000,128.3801482,37.26561564,2014051015
20140509,160300,129.1277569,37.27913742,2014050916
20140426,131800,127.6870303,38.1108786,2014042613
20140529,153200,128.376151,38.52504419,2014052915
